AbstractServer, innatarasyan: 	Got error while calling IPC method: \danog\MadelineProto\Exception: Invalid constructor provided: messageMediaWebPage in /home/user/PhpstormProjects/CryptoTrading/vendor/danog/madelineproto/src/MTProtoTools/Files.php:992
Revision: 8.4.20
TL Trace:

Files.php(1010):    	getDownloadInfo()
AbstractServer.php(259):	downloadToDir()
AbstractDriver.php(430):	clientRequest()
AbstractDriver.php(621):	invokeMicrotasks()
{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
AbstractDriver.php(502):	resume()
AbstractDriver.php(558):	invokeCallbacks()
{closure:Revolt\EventLoop\Internal\AbstractDriver::createLoopFiber():538}()
AbstractDriver.php(96):	resume()
DriverSuspension.php(117):	{closure:Revolt\EventLoop\Internal\AbstractDriver::__construct():90}()
Future.php(251):    	suspend()
AbstractServer.php(177):	await()
entry.php(119):     	waitShutdown()
entry.php(154):     	{closure:/home/user/PhpstormProjects/CryptoTrading/vendor/danog/madelineproto/src/Ipc/Runner/entry.php:35}()
ServerCallback, innatarasyan: 	Accepted IPC callback connection, assigning ID 1086!
Exception, innatarasyan:      	Invalid constructor provided: messageMediaWebPage in Files.php:992
AbstractServer, innatarasyan: 	Got error while calling IPC method: \danog\MadelineProto\Exception: Invalid constructor provided: messageMediaWebPage in /home/user/PhpstormProjects/CryptoTrading/vendor/danog/madelineproto/src/MTProtoTools/Files.php:992
Revision: 8.4.20
TL Trace:

Files.php(1010):    	getDownloadInfo()
AbstractServer.php(259):	downloadToDir()
AbstractDriver.php(430):	clientRequest()
AbstractDriver.php(621):	invokeMicrotasks()
